dob,merchantId
01-01-1995,00010000
19-05-2002,61311010
15-03-1999,61012073
25-07-1989,82119069
03-06-1998,73615099
02-10-1988,54812076
05-03-2008,65315050
15-03-1988,27213015
08-03-1990,87910048
26-01-1990,68116085
24-07-1998,29112045
30-01-2001,32819130
15-11-1980,32012173
23-11-1991,35617109
03-04-1979,45910114
27-04-1996,05212130
17-07-1990,46214111
08-12-1994,77712162
14-02-1995,08815104
05-03-1999,89011179
24-09-1995,39311188
24-04-2003,90217261
04-02-1995,21510255
09-12-1983,02818237
10-12-2003,53419236
10-03-1997,36717206
27-01-2004,47213201
10-09-1989,97613236
15-11-1999,11616344
10-10-1991,01116350
16-04-1986,72415310
04-05-1987,93610317
27-06-1964,43511366
01-01-1991,24714312
16-02-1999,94213321
07-08-1992,35512334
04-12-1983,47512318
01-01-1985,19914300
23-05-2004,79411394
29-03-1971,90710438
12-08-1997,82616471
14-03-1968,84418494
05-10-1957,37110416
26-09-1999,77017440
23-07-1985,17014482
11-01-1990,28113445
10-03-2003,20719527
26-01-1992,80815585
28-01-2003,72311534
20-08-1982,22113547
22-03-2007,84313514
21-11-1998,84513540
22-01-2002,85819564
23-06-2005,97717535
13-09-1993,59012582
11-11-1999,50617671
24-01-1997,21917611
01-01-2002,62510601
21-10-1986,03315623
26-04-1990,85211695
28-08-2001,76414635
16-05-1999,76216677
07-10-1982,26614679
09-10-1997,78712621
25-07-1997,78419644
11-10-2008,29714615
05-11-2004,41318740
12-07-1999,33116778
10-09-2001,15810769
13-08-1998,56918790
19-02-1982,19518796
01-02-2005,81410817
16-01-1981,61318827
06-09-1998,41618826
13-05-1982,33516858
08-12-2006,24311835
08-11-1991,84617835
05-04-2001,96219801
7-10-1998,76210859
25-03-1987,97911818
12-10-1968,08314832
19-9-1979,80718946
23-07-1983,71715967
13-12-1965,72813944
10-11-2002,03516976
06-07-1997,73116997
19-5-1986,74310967
15-08-2004,54015971
21-12-1988,65411930
29-10-1990,35215967
26-05-1997,30629006
17-01-1975,91125061
04-08-1989,22928063
16-05-1993,83422040
06-01-1983,04223029
07-03-1995,84421072
04-12-2003,68224099
30-12-2007,59928033
19-01-1995,01221142
19-08-1964,12326179
19-08-1984,23021190
14-7-1987,94522125
20-8-2003,34227131
19-08-1995,34129157
07-09-1987,54320177
28-08-1995,34124194
12-10-1985,26422162
27-04-2001,77928149
10-11-1994,18928197
27-09-1985,69424196
18-04-1976,11421266
07-11-2002,64128250
01-05-1986,75722255
17-04-1998,69529255
14-11-1977,13624382
11-02-2000,05820373
28-03-1993,47628326
23-05-2004,58124392
07-01-1995,99525359
11-04-1991,59829358
05-07-1987,29328398
31-08-2001,10225499
05-05-1990,72928468
07-07-1993,05423440
19-03-1991,55225467
16-09-1989,17821432
27-09-1982,87027490
26-07-1991,87429490
